algorithm,checkpoint,step,model_path,mean_reward,std_reward,min_reward,max_reward,mean_caught,mean_missed,mean_coverage,mean_false
DQN,wildlife_dqn_695000_steps.zip,695000,models/dqn/wildlife_dqn_695000_steps.zip,4113.5001,597.8049,3118.8492,4918.7516,0.0000,10.4000,15.2000,1.2000
DQN,wildlife_dqn_700000_steps.zip,700000,models/dqn/wildlife_dqn_700000_steps.zip,2783.0017,1156.3499,916.5850,4259.3040,0.0000,5.4000,12.6000,4.2000
DQN,wildlife_dqn_705000_steps.zip,705000,models/dqn/wildlife_dqn_705000_steps.zip,3616.2757,946.1057,2201.0330,4920.4892,0.0000,6.2000,13.2000,0.4000
DQN,wildlife_dqn_710000_steps.zip,710000,models/dqn/wildlife_dqn_710000_steps.zip,3154.6068,480.8890,2563.9824,3699.9000,0.0000,4.2000,12.4000,0.0000
DQN,wildlife_dqn_715000_steps.zip,715000,models/dqn/wildlife_dqn_715000_steps.zip,2004.3262,1231.5151,-65.0416,3125.1150,0.0000,8.6000,27.8000,3.6000
DQN,wildlife_dqn_720000_steps.zip,720000,models/dqn/wildlife_dqn_720000_steps.zip,3253.0381,1561.2137,1278.1336,6044.8006,0.0000,9.6000,18.2000,1.4000
DQN,wildlife_dqn_725000_steps.zip,725000,models/dqn/wildlife_dqn_725000_steps.zip,3556.5283,1251.2078,1942.5280,5242.5466,0.0000,8.4000,9.8000,31.8000
DQN,wildlife_dqn_730000_steps.zip,730000,models/dqn/wildlife_dqn_730000_steps.zip,2694.7651,1041.9158,1363.0730,4313.0808,0.0000,7.0000,16.0000,10.8000
DQN,wildlife_dqn_735000_steps.zip,735000,models/dqn/wildlife_dqn_735000_steps.zip,2856.3387,767.2434,1899.8414,3723.7206,0.0000,6.6000,12.8000,1.6000
DQN,wildlife_dqn_740000_steps.zip,740000,models/dqn/wildlife_dqn_740000_steps.zip,3199.9269,485.7618,2276.2972,3717.5580,0.0000,9.0000,8.2000,4.2000
DQN,wildlife_dqn_745000_steps.zip,745000,models/dqn/wildlife_dqn_745000_steps.zip,3081.6812,811.1291,1842.7840,4031.9220,0.0000,8.4000,15.6000,21.6000
DQN,wildlife_dqn_750000_steps.zip,750000,models/dqn/wildlife_dqn_750000_steps.zip,3178.7856,2005.6092,684.3846,5358.6246,0.0000,6.4000,11.0000,9.4000
DQN,wildlife_dqn_755000_steps.zip,755000,models/dqn/wildlife_dqn_755000_steps.zip,2446.7490,1350.7952,731.7772,3765.2636,0.0000,8.2000,15.0000,32.2000
DQN,wildlife_dqn_760000_steps.zip,760000,models/dqn/wildlife_dqn_760000_steps.zip,2982.9746,445.0973,2448.0752,3603.3538,0.0000,9.0000,14.0000,2.6000
DQN,wildlife_dqn_765000_steps.zip,765000,models/dqn/wildlife_dqn_765000_steps.zip,2023.8019,1436.8533,388.5958,3961.3216,0.0000,8.8000,16.4000,4.2000
DQN,wildlife_dqn_770000_steps.zip,770000,models/dqn/wildlife_dqn_770000_steps.zip,2441.1805,1432.7057,96.2926,3764.2988,0.0000,6.6000,13.0000,2.0000
DQN,wildlife_dqn_775000_steps.zip,775000,models/dqn/wildlife_dqn_775000_steps.zip,2738.1760,2000.8287,-1222.7702,4262.7688,0.0000,7.8000,14.2000,44.2000
